t,n1,n2,n3,oracle_n1,oracle_n2,oracle_n3,error_norm,oracle_error_norm,r1,r2,r3,u1,u2,u3,z1,z2,z3
0,3.803847577,4.649147039,3.803847577,3.803847577,4.649147039,3.803847577,0.7320508076,0.7320508076,0.6422649731,0.1577350269,0,0.4663271437,0.7183946842,0.4663271437,0.4309401077,0.7690598923,0.4309401077
0.02,3.808053012,4.642709901,3.810557258,3.808053012,4.642709901,3.810557258,0.7220350937,0.7220350937,0.6418444296,0.1583787407,0,0.4677519057,0.7166816524,0.468599305,0.4326222817,0.7664850371,0.4336239799
0.04,3.812216603,4.636359019,3.817162528,3.812216603,4.636359019,3.817162528,0.7121587515,0.7121587515,0.6414280705,0.1590138289,0,0.4691603862,0.714989141,0.4708308078,0.4342877178,0.7639446845,0.436266088
0.06,3.816338765,4.630093315,3.823664903,3.816338765,4.630093315,3.823664903,0.7024198987,0.7024198987,0.6410158544,0.1596403993,0,0.4705527963,0.713316948,0.4730224409,0.4359365826,0.7614384027,0.438867038
0.08,3.82041991,4.623911721,3.830065877,3.82041991,4.623911721,3.830065877,0.6928166772,0.6928166772,0.6406077398,0.1602585587,0,0.4719293439,0.7116648725,0.4751749751,0.4375690409,0.7589657653,0.4414274277
0.1,3.824460448,4.617813185,3.836366925,3.824460448,4.617813185,3.836366925,0.6833472535,0.6833472535,0.640203686,0.1608684123,0,0.4732902337,0.7100327154,0.4772891628,0.4391852559,0.7565263509,0.4439478466
0.12,3.828460781,4.611796666,3.842569499,3.828460781,4.611796666,3.842569499,0.6740098177,0.6740098177,0.6398036527,0.1614700642,0,0.474635667,0.7084202789,0.4793657394,0.4407853894,0.7541197431,0.4464288763
0.14,3.832421311,4.605861135,3.848675034,3.832421311,4.605861135,3.848675034,0.6648025835,0.6648025835,0.6394075997,0.1620636174,0,0.4759658421,0.7068273664,0.4814054233,0.4423696012,0.7517455306,0.4488710904
0.16,3.836342433,4.600005575,3.854684945,3.836342433,4.600005575,3.854684945,0.6557237879,0.6557237879,0.6390154875,0.1626491733,0,0.4772809542,0.7052537831,0.4834089164,0.4439380499,0.7494033069,0.4512750546
0.18,3.840224539,4.594228985,3.860600626,3.840224539,4.594228985,3.860600626,0.646771691,0.646771691,0.6386272769,0.1632268323,0,0.4785811954,0.7036993354,0.485376905,0.4454908922,0.7470926706,0.4536413271
