t,n1,n2,n3,oracle_n1,oracle_n2,oracle_n3,error_norm,oracle_error_norm,r1,r2,r3,u1,u2,u3,z1,z2,z3
0,10.69703257,0.7735055371,10.77350554,10.69703257,0.7735055371,10.77350554,11.48912529,11.48912529,0,0.39,0,1,0,1,1.492712184,0,1.491025338
0.02,10.67480356,0.7953681131,10.75078906,10.63353411,0.8225400851,10.70705725,11.45403466,11.39015214,0,0.3882509939,0,1,0,1,1.493169602,0,1.491544737
0.04,10.65256817,0.8172002094,10.72806449,10.57058875,0.8708643899,10.64125015,11.41896166,11.29222457,0,0.3865044262,0,1,0,1,1.493612322,0,1.492048831
0.06,10.63032662,0.8390017338,10.70533206,10.50819134,0.9184874341,10.57607733,11.38390669,11.19533028,0,0.3847603043,0,1,0,1,1.494040325,0,1.4925376
0.08,10.60807911,0.860772594,10.68259202,10.44633676,0.9654180926,10.51153195,11.34887015,11.09945713,0,0.3830186355,0,1,0,1,1.494453597,0,1.493011022
0.1,10.58582587,0.8825126978,10.65984459,10.38501996,1.011665134,10.44760727,11.31385245,11.00459309,0,0.3812794271,0,1,0,1,1.494852121,0,1.493469077
0.12,10.56356711,0.904221953,10.63709002,10.3242359,1.057237222,10.3842966,11.27885401,10.91072629,0,0.3795426867,0,1,0,1,1.495235882,0,1.493911745
0.14,10.54130304,0.9259002673,10.61432854,10.26397965,1.102142915,10.32159334,11.24387522,10.81784501,0,0.3778084216,0,1,0,1,1.495604865,0,1.494339007
0.16,10.51903389,0.9475475485,10.5915604,10.20424627,1.14639067,10.25949098,11.2089165,10.72593765,0,0.3760766391,0,1,0,1,1.495959057,0,1.494750844
0.18,10.49675988,0.9691637043,10.56878582,10.1450309,1.189988843,10.19798306,11.17397826,10.63499275,0,0.3743473466,0,1,0,1,1.496298444,0,1.49514724
0.2,10.47448121,0.9907486424,10.54600505,10.08632872,1.232945689,10.13706321,11.13906092,10.544999,0,0.3726205516,0,1,0,1,1.496623014,0,1.495528177
0.22,10.45219811,1.012302271,10.52321832,10.02813496,1.275269362,10.07672512,11.10416489,10.45594521,0,0.3708962613,0,1,0,1,1.496932753,0,1.495893639
0.24,10.42991079,1.033824497,10.50042589,9.970444884,1.31696792,10.01696257,11.06929057,10.36782033,0,0.3691744832,0,1,0,1,1.497227651,0,1.496243609
0.26,10.40761947,1.055315229,10.47762797,9.913253819,1.358049325,9.957769401,11.0344384,10.28061344,0,0.3674552247,0,1,0,1,1.497507695,0,1.496578073
0.28,10.38532438,1.076774374,10.45482482,9.856557125,1.398521441,9.899139517,10.99960879,10.19431375,0,0.3657384931,0,1,0,1,1.497772877,0,1.496897016
