t,n1,n2,n3,oracle_n1,oracle_n2,oracle_n3,error_norm,oracle_error_norm,r1,r2,r3,u1,u2,u3,z1,z2,z3
0,2.42732931,3.050856091,2.496154983,2.42732931,3.050856091,2.496154983,0.4760110355,0.4760110355,0.2415762605,0.2078119557,0.2121880443,0.4878227567,0.697410571,0.4868282752,0.3121186973,0.5409402215,0.3190597785
0.02,2.429803216,3.047186869,2.499010071,2.429803216,3.047186869,2.499010071,0.4708086217,0.4708086217,0.2413783481,0.2081054934,0.2119596373,0.4889399651,0.6962051241,0.4880922446,0.3131082597,0.5394725328,0.3202018136
0.04,2.432253191,3.043562509,2.501833095,2.432253191,3.043562509,2.501833095,0.4656659763,0.4656659763,0.24118235,0.2083954423,0.2117337954,0.4900445741,0.6950124322,0.4893397659,0.3140882498,0.5380227887,0.3213310231
0.06,2.434679474,3.03998248,2.504624432,2.434679474,3.03998248,2.504624432,0.4605824087,0.4605824087,0.2409882474,0.2086818446,0.2115104884,0.4911367488,0.693832386,0.4905710894,0.3150587629,0.5365907772,0.3224475579
0.08,2.4370823,3.036446259,2.507384454,2.4370823,3.036446259,2.507384454,0.4555572361,0.4555572361,0.2407960213,0.2089647422,0.2112896866,0.4922166512,0.6926648771,0.4917864606,0.3160198933,0.5351762889,0.3235515668
0.1,2.439461902,3.032953328,2.51011353,2.439461902,3.032953328,2.51011353,0.4505897836,0.4505897836,0.2406056531,0.2092441767,0.2110713606,0.4932844411,0.6915097974,0.4929861206,0.3169717343,0.5337791165,0.324643197
0.12,2.441818512,3.029503176,2.512812021,2.441818512,3.029503176,2.512812021,0.4456793843,0.4456793843,0.2404171244,0.2095201889,0.2108554813,0.4943402755,0.6903670392,0.4941703061,0.3179143782,0.5323990554,0.3257225937
0.14,2.444152358,3.026095295,2.515480289,2.444152358,3.026095295,2.515480289,0.4408253788,0.4408253788,0.2402304167,0.2097928193,0.2106420198,0.4953843093,0.6892364957,0.4953392495,0.3188479165,0.5310359033,0.3267899008
0.16,2.446463666,3.022729188,2.518118687,2.446463666,3.022729188,2.518118687,0.4360271152,0.4360271152,0.2400455121,0.210062108,0.210430948,0.4964166948,0.6881180602,0.4964931792,0.3197724397,0.5296894602,0.32784526
0.18,2.44875266,3.019404358,2.520727566,2.44875266,3.019404358,2.520727566,0.4312839494,0.4312839494,0.2398623925,0.2103280943,0.2102222377,0.4974375817,0.6870116268,0.4976323192,0.3206880374,0.5283595285,0.3288888115
0.2,2.451019563,3.016120319,2.523307272,2.451019563,3.016120319,2.523307272,0.4265952444,0.4265952444,0.2396810403,0.2105908174,0.2100158612,0.4984471179,0.6859170902,0.4987568898,0.3215947984,0.5270459128,0.3299206939
