t,n1,n2,n3,oracle_n1,oracle_n2,oracle_n3,error_norm,oracle_error_norm,r1,r2,r3,u1,u2,u3,z1,z2,z3
0,2.966735823,3.050856091,3.050856091,2.966735823,3.050856091,3.050856091,0.4760110355,0.4760110355,0.1984237395,0.2078119557,0.1678119557,0.6964152342,0.697410571,0.697410571,0.5278813027,0.5409402215,0.5409402215
0.02,2.965183311,3.049227779,3.049432881,2.965183311,3.049227779,3.049432881,0.4733534364,0.4733534364,0.1985479404,0.2079422207,0.1679258125,0.6958967368,0.6968758716,0.6969432443,0.527260298,0.5402888967,0.5403709376
0.04,2.963640035,3.047609399,3.048016127,2.963640035,3.047609399,3.048016127,0.4707106686,0.4707106686,0.1986714025,0.208071691,0.1680391528,0.695380945,0.6963440405,0.696477736,0.5266429875,0.5396415449,0.5398042359
0.06,2.962105936,3.046000888,3.046605809,2.962105936,3.046000888,3.046605809,0.4680826487,0.4680826487,0.1987941304,0.2082003719,0.1681519782,0.6948678455,0.6958150629,0.6960140438,0.5260293478,0.5389981404,0.5392401088
0.08,2.960580956,3.044402181,3.045201909,2.960580956,3.044402181,3.045201909,0.465469294,0.465469294,0.1989161289,0.2083282685,0.1682642902,0.6943574247,0.6952889244,0.695552165,0.5254193556,0.5383586575,0.5386785489
0.1,2.959065036,3.042813215,3.043804409,2.959065036,3.042813215,3.043804409,0.4628705222,0.4628705222,0.1990374024,0.2084553858,0.1683760903,0.6938496694,0.6947656104,0.6950920973,0.5248129878,0.537723071,0.5381195487
0.12,2.95755812,3.041233926,3.042413289,2.95755812,3.041233926,3.042413289,0.4602862513,0.4602862513,0.1991579557,0.2085817289,0.1684873799,0.6933445663,0.6942451065,0.6946338379,0.5242102215,0.5370913555,0.5375631006
0.14,2.956060151,3.039664252,3.04102853,2.956060151,3.039664252,3.04102853,0.4577164001,0.4577164001,0.1992777932,0.2087073028,0.1685981606,0.6928421022,0.6937273983,0.6941773842,0.5236110338,0.5364634861,0.5370091972
0.16,2.954571072,3.038104132,3.039650114,2.954571072,3.038104132,3.039650114,0.4551608876,0.4551608876,0.1993969196,0.2088321124,0.1687084339,0.6923422639,0.6932124715,0.6937227335,0.5230154021,0.5358394378,0.5364578307
0.18,2.953090827,3.036553502,3.038278021,2.953090827,3.036553502,3.038278021,0.4526196334,0.4526196334,0.1995153392,0.2089561628,0.1688182013,0.6918450384,0.692700312,0.693269883,0.522423304,0.535219186,0.5359089935
0.2,2.95161936,3.035012302,3.036912232,2.95161936,3.035012302,3.036912232,0.4500925576,0.4500925576,0.1996330566,0.2090794588,0.1689274644,0.6913504125,0.6921909054,0.6928188299,0.5218347172,0.5346027061,0.535362678
0.22,2.950156615,3.033480472,3.035552728,2.950156615,3.033480472,3.035552728,0.4475795805,0.4475795805,0.1997500761,0.2092020052,0.1690362247,0.6908583735,0.6916842377,0.6923695713,0.5212496194,0.5339899738,0.5348188765
0.24,2.948702539,3.031957949,3.03419949,2.948702539,3.031957949,3.03419949,0.4450806232,0.4450806232,0.1998664022,0.209323807,0.1691444838,0.6903689083,0.6911802948,0.6919221043,0.5206679888,0.5333809649,0.5342775811
0.26,2.947257075,3.030444676,3.032852497,2.947257075,3.030444676,3.032852497,0.4425956071,0.4425956071,0.1999820393,0.2094448689,0.1692522432,0.6898820041,0.6906790629,0.691476426,0.5200898034,0.5327756555,0.5337387841
0.28,2.94582017,3.028940591,3.031511731,2.94582017,3.028940591,3.031511731,0.440124454,0.440124454,0.2000969917,0.2095651957,0.1693595044,0.6893976482,0.6901805278,0.6910325332,0.5195150415,0.5321740216,0.5332024778
0.3,2.944391771,3.027445636,3.030177173,2.944391771,3.027445636,3.030177173,0.4376670863,0.4376670863,0.2002112637,0.2096847921,0.1694662692,0.6889158277,0.6896846759,0.6905904231,0.5189436817,0.5315760397,0.5326686542
0.32,2.942971823,3.025959752,3.028848801,2.942971823,3.025959752,3.028848801,0.4352234267,0.4352234267,0.2003248595,0.2098036628,0.1695725389,0.6884365301,0.6891914934,0.6901500924,0.5183757025,0.5309816862,0.5321373056
0.34,2.941560274,3.024482881,3.027526597,2.941560274,3.024482881,3.027526597,0.4327933984,0.4327933984,0.2004377834,0.2099218125,0.1696783152,0.6879597428,0.6887009664,0.6897115381,0.5178110828,0.5303909377,0.531608424
0.36,2.94015707,3.023014965,3.026210541,2.94015707,3.023014965,3.026210541,0.4303769251,0.4303769251,0.2005500397,0.2100392458,0.1697835997,0.6874854531,0.6882130813,0.6892747568,0.5172498013,0.5298037711,0.5310820016
0.38,2.93876216,3.021555946,3.024900613,2.93876216,3.021555946,3.024900613,0.4279739309,0.4279739309,0.2006616326,0.2101559673,0.1698883939,0.6870136487,0.6877278246,0.6888397455,0.5166918372,0.5292201634,0.5305580304
0.4,2.937375491,3.020105766,3.023596793,2.937375491,3.020105766,3.023596793,0.4255843403,0.4255843403,0.2007725661,0.2102719817,0.1699926995,0.686544317,0.6872451827,0.6884065008,0.5161371697,0.5286400917,0.5300365024
0.42,2.935997012,3.018664371,3.022299062,2.935997012,3.018664371,3.022299062,0.4232080782,0.4232080782,0.2008828444,0.2103872933,0.170096518,0.6860774457,0.6867651422,0.6879750193,0.515585778,0.5280635334,0.5295174098
0.44,2.934626671,3.017231702,3.021007398,2.934626671,3.017231702,3.021007398,0.42084507,0.42084507,0.2009924716,0.2105019068,0.1701998511,0.6856130225,0.6862876896,0.6875452977,0.5150376418,0.5274904658,0.5290007444
0.46,2.933264418,3.015807704,3.019721783,2.933264418,3.015807704,3.019721783,0.4184952417,0.4184952417,0.2011014519,0.2106158267,0.1703027003,0.6851510352,0.6858128116,0.6871173327,0.5144927406,0.5269208667,0.5284864983
0.48,2.931910202,3.014392321,3.018442196,2.931910202,3.014392321,3.018442196,0.4161585193,0.4161585193,0.2012097892,0.2107290573,0.1704050673,0.6846914715,0.6853404949,0.6866911208,0.5139510542,0.5263547137,0.5279746634
0.5,2.930563973,3.012985499,3.017168616,2.930563973,3.012985499,3.017168616,0.4138348296,0.4138348296,0.2013174875,0.210841603,0.1705069537,0.6842343193,0.6848707263,0.6862666584,0.5134125625,0.5257919849,0.5274652317
0.52,2.929225681,3.011587183,3.015901025,2.929225681,3.011587183,3.015901025,0.4115240996,0.4115240996,0.2014245509,0.2109534683,0.170608361,0.6837795666,0.6844034926,0.6858439421,0.5128772456,0.5252326583,0.526958195
0.54,2.927895276,3.010197317,3.014639401,2.927895276,3.010197317,3.014639401,0.4092262569,0.4092262569,0.2015309833,0.2110646576,0.1707092909,0.6833272012,0.6839387808,0.6854229683,0.5123450836,0.5246767121,0.5264535454
0.56,2.926572709,3.008815849,3.013383724,2.926572709,3.008815849,3.013383724,0.4069412294,0.4069412294,0.2016367886,0.2111751751,0.1708097451,0.6828772112,0.6834765778,0.6850037334,0.5118160569,0.5241241247,0.5259512747
0.58,2.925257932,3.007442724,3.012133974,2.925257932,3.007442724,3.012133974,0.4046689454,0.4046689454,0.2017419708,0.2112850251,0.1709097251,0.6824295848,0.6830168706,0.6845862337,0.511290146,0.5235748747,0.5254513747
0.6,2.923950895,3.006077889,3.01089013,2.923950895,3.006077889,3.01089013,0.4024093337,0.4024093337,0.2018465337,0.2113942119,0.1710092325,0.68198431,0.6825596463,0.6841704657,0.5107673314,0.5230289407,0.5249538374
0.62,2.922651551,3.004721291,3.009652173,2.922651551,3.004721291,3.009652173,0.4001623233,0.4001623233,0.2019504812,0.2115027397,0.1711082691,0.681541375,0.682104892,0.6837564256,0.5102475939,0.5224863017,0.5244586545
0.64,2.921359852,3.003372878,3.008420082,2.921359852,3.003372878,3.008420082,0.397927844,0.397927844,0.2020538171,0.2116106127,0.1712068364,0.6811007681,0.6816525951,0.6833441096,0.5097309143,0.5219469365,0.5239658179
0.66,2.920075751,3.002032598,3.007193836,2.920075751,3.002032598,3.007193836,0.3957058255,0.3957058255,0.2021565453,0.2117178352,0.1713049361,0.6806624777,0.6812027426,0.682933514,0.5092172736,0.5214108242,0.5234753195
0.68,2.918799199,3.000700398,3.005973415,2.918799199,3.000700398,3.005973415,0.3934961983,0.3934961983,0.2022586694,0.2118244112,0.1714025698,0.680226492,0.680755322,0.682524635,0.508706653,0.5208779442,0.522987151
0.7,2.917530151,2.999376227,3.004758798,2.917530151,2.999376227,3.004758798,0.391298893,0.391298893,0.2023601933,0.2119303448,0.1714997391,0.6797927994,0.6803103207,0.6821174687,0.5081990337,0.5203482759,0.5225013043
0.72,2.916268559,2.998060034,3.003549965,2.916268559,2.998060034,3.003549965,0.389113841,0.389113841,0.2024611206,0.2120356402,0.1715964458,0.6793613886,0.6798677261,0.6817120113,0.507694397,0.5198217989,0.522017771
0.74,2.915014378,2.996751769,3.002346895,2.915014378,2.996751769,3.002346895,0.3869409737,0.3869409737,0.2025614551,0.2121403015,0.1716926914,0.6789322479,0.6794275257,0.6813082589,0.5071927245,0.5192984927,0.5215365431
0.76,2.913767561,2.99545138,3.001149568,2.913767561,2.99545138,3.001149568,0.384780223,0.384780223,0.2026612004,0.2122443325,0.1717884775,0.6785053659,0.678989707,0.6809062075,0.5066939979,0.5187783373,0.5210576123
0.78,2.912528064,2.994158819,2.999957963,2.912528064,2.994158819,2.999957963,0.3826315212,0.3826315212,0.2027603602,0.2123477375,0.1718838059,0.6780807314,0.6785542577,0.6805058532,0.5061981989,0.5182613126,0.5205809703
0.8,2.91129584,2.992874034,2.998772059,2.91129584,2.992874034,2.998772059,0.3804948011,0.3804948011,0.2028589381,0.2124505202,0.1719786782,0.6776583329,0.6781211655,0.6801071919,0.5057053093,0.5177473988,0.5201066088
0.82,2.910070844,2.991596977,2.997591836,2.910070844,2.991596977,2.997591837,0.3783699957,0.3783699957,0.2029569378,0.2125526848,0.172073096,0.6772381592,0.6776904182,0.6797102197,0.5052153111,0.517236576,0.5196345198
0.84,2.908853033,2.990327599,2.996417274,2.908853033,2.990327599,2.996417274,0.3762570385,0.3762570385,0.2030543627,0.2126542351,0.172167061,0.6768201991,0.6772620034,0.6793149325,0.5047281866,0.5167288247,0.5191646948
0.86,2.907642361,2.989065851,2.995248351,2.907642361,2.989065851,2.995248351,0.3741558633,0.3741558633,0.2031512164,0.2127551749,0.1722605749,0.6764044415,0.6768359091,0.6789213263,0.5042439179,0.5162241254,0.5186971256
0.88,2.906438785,2.987811684,2.994085047,2.906438785,2.987811684,2.994085047,0.3720664044,0.3720664044,0.2032475025,0.2128555082,0.1723536392,0.6759908753,0.6764121232,0.6785293969,0.5037624875,0.5157224588,0.5182318039
0.9,2.905242261,2.986565051,2.992927341,2.905242261,2.986565051,2.992927341,0.3699885963,0.3699885963,0.2033432244,0.2129552389,0.1724462557,0.6755794893,0.6759906336,0.6781391402,0.5032838778,0.5152238056,0.5177687216
0.92,2.904052745,2.985325904,2.991775213,2.904052745,2.985325904,2.991775213,0.367922374,0.367922374,0.2034383857,0.2130543707,0.172538426,0.6751702726,0.6755714285,0.677750552,0.5028080714,0.5147281467,0.5173078702
0.94,2.902870194,2.984094195,2.990628641,2.902870194,2.984094195,2.990628641,0.3658676728,0.3658676728,0.2035329898,0.2131529073,0.1726301517,0.6747632143,0.6751544958,0.6773636282,0.502335051,0.5142354633,0.5168492415
0.96,2.901694565,2.982869878,2.989487605,2.901694565,2.982869878,2.989487605,0.3638244285,0.3638244285,0.2036270401,0.2132508527,0.1727214345,0.6743583035,0.6747398238,0.6769783645,0.5018647995,0.5137457364,0.5163928273
0.98,2.900525816,2.981652906,2.988352085,2.900525816,2.981652905,2.988352085,0.3617925771,0.3617925771,0.20372054,0.2133482105,0.1728122762,0.6739555292,0.6743274005,0.6765947568,0.5013972999,0.5132589474,0.5159386192
1,2.899363905,2.980443231,2.98722206,2.899363904,2.980443231,2.98722206,0.359772055,0.359772055,0.203813493,0.2134449845,0.1729026782,0.6735548808,0.6739172144,0.6762128008,0.5009325352,0.5127750777,0.515486609
1.02,2.898208788,2.979240809,2.986097508,2.898208788,2.979240809,2.986097508,0.357762799,0.357762799,0.2039059023,0.2135411782,0.1729926423,0.6731563475,0.6735092536,0.6758324921,0.5004704886,0.5122941088,0.5150367884
1.04,2.897060425,2.978045593,2.98497841,2.897060425,2.978045593,2.98497841,0.3557647462,0.3557647462,0.2039977713,0.2136367955,0.1730821702,0.6727599185,0.6731035066,0.6754538265,0.5000111434,0.5118160225,0.514589149
1.06,2.895918774,2.976857539,2.983864744,2.895918774,2.976857539,2.983864744,0.3537778341,0.3537778341,0.2040891034,0.2137318399,0.1731712635,0.6723655833,0.6726999618,0.6750767997,0.499554483,0.5113408006,0.5141436827
1.08,2.894783794,2.9756766,2.98275649,2.894783794,2.9756766,2.98275649,0.3518020007,0.3518020007,0.2041799018,0.213826315,0.1732599238,0.6719733313,0.6722986076,0.6747014073,0.499100491,0.510868425,0.513700381
1.1,2.893655444,2.974502732,2.981653627,2.893655444,2.974502731,2.981653627,0.349837184,0.349837184,0.2042701698,0.2139202244,0.1733481528,0.6715831518,0.6718994326,0.674327645,0.4986491509,0.5103988778,0.5132592359
1.12,2.892533683,2.97333589,2.980556134,2.892533683,2.97333589,2.980556134,0.3478833227,0.3478833227,0.2043599107,0.2140135718,0.1734359522,0.6711950345,0.6715024255,0.6739555084,0.4982004466,0.5099321411,0.5128202388
1.14,2.891418471,2.97217603,2.979463991,2.891418471,2.97217603,2.979463992,0.3459403556,0.3459403556,0.2044491276,0.2141063606,0.1735233237,0.6708089689,0.6711075747,0.673584993,0.4977543619,0.5094681972,0.5123833817
1.16,2.890309768,2.971023109,2.978377177,2.890309768,2.971023109,2.978377178,0.344008222,0.344008222,0.2045378239,0.2141985943,0.1736102688,0.6704249446,0.6707148692,0.6732160945,0.4973108807,0.5090070286,0.5119486561
1.18,2.889207534,2.969877082,2.977295672,2.889207534,2.969877082,2.977295672,0.3420868614,0.3420868614,0.2046260026,0.2142902764,0.1736967892,0.6700429513,0.6703242975,0.6728488083,0.4968699871,0.5085486178,0.5115160539
1.2,2.88811173,2.968737906,2.976219454,2.88811173,2.968737906,2.976219454,0.3401762138,0.3401762138,0.2047136669,0.2143814105,0.1737828867,0.6696629786,0.6699358485,0.6724831301,0.4964316653,0.5080929475,0.5110855667
1.22,2.887022316,2.967605538,2.975148503,2.887022315,2.967605538,2.975148503,0.3382762195,0.3382762195,0.2048008201,0.2144719999,0.1738685627,0.6692850163,0.6695495111,0.6721190554,0.4959958996,0.5076400004,0.5106571863
1.24,2.885939252,2.966479936,2.974082798,2.885939252,2.966479936,2.974082798,0.3363868191,0.3363868191,0.2048874651,0.2145620481,0.1739538191,0.6689090542,0.6691652741,0.6717565796,0.4955626743,0.5071897594,0.5102309044
1.26,2.884862501,2.965361056,2.973022319,2.884862501,2.965361056,2.973022319,0.3345079534,0.3345079534,0.2049736052,0.2146515585,0.1740386574,0.6685350822,0.6687831267,0.6713956982,0.495131974,0.5067422076,0.5098067128
1.28,2.883792024,2.964248857,2.971967045,2.883792024,2.964248857,2.971967045,0.3326395638,0.3326395638,0.2050592434,0.2147405344,0.1741230794,0.6681630902,0.6684030577,0.6710364068,0.4947037831,0.506297328,0.5093846032
1.3,2.882727783,2.963143297,2.970916956,2.882727783,2.963143297,2.970916956,0.3307815919,0.3307815919,0.2051443827,0.2148289792,0.1742070865,0.6677930681,0.6680250563,0.6706787007,0.4942780866,0.505855104,0.5089645674
1.32,2.881669739,2.962044334,2.96987203,2.881669739,2.962044334,2.96987203,0.3289339796,0.3289339796,0.2052290262,0.2149168962,0.1742906806,0.667425006,0.6676491115,0.6703225754,0.493854869,0.5054155188,0.5085465972
1.34,2.880617855,2.960951927,2.968832248,2.880617855,2.960951927,2.968832247,0.3270966691,0.3270966691,0.2053131769,0.2150042888,0.1743738632,0.6670588937,0.6672752127,0.6699680262,0.4934341154,0.5049785559,0.5081306842
