t,n1,n2,n3,oracle_n1,oracle_n2,oracle_n3,error_norm,oracle_error_norm,r1,r2,r3,u1,u2,u3,z1,z2,z3
0,2.966735823,2.496154983,3.050856091,2.966735823,2.496154983,3.050856091,0.4760110355,0.4760110355,0.1984237395,0.2521880443,0.1678119557,0.6964152342,0.4868282752,0.697410571,0.5278813027,0.3190597785,0.5409402215
0.02,2.964261917,2.499824205,3.048001003,2.964261917,2.499824205,3.048001003,0.4708086217,0.4708086217,0.1986216519,0.2518945066,0.1680403627,0.6955888351,0.4884522478,0.6964727651,0.5268917403,0.3205274672,0.5397981864
0.04,2.961811942,2.503448565,3.045177979,2.961811942,2.503448565,3.045177979,0.4656659763,0.4656659763,0.19881765,0.2516045577,0.1682662046,0.6947694726,0.490052653,0.6955442896,0.5259117502,0.3219772113,0.5386689769
0.06,2.959385659,2.507028594,3.042386642,2.959385659,2.507028594,3.042386642,0.4605824087,0.4605824087,0.1990117526,0.2513181554,0.1684895116,0.6939570923,0.4916298774,0.6946250573,0.5249412371,0.3234092228,0.5375524421
0.08,2.956982833,2.510564815,3.03962662,2.956982833,2.510564815,3.03962662,0.4555572361,0.4555572361,0.1992039787,0.2510352578,0.1687103134,0.6931516401,0.4931842996,0.6937149819,0.5239801067,0.3248237111,0.5364484332
0.1,2.954603231,2.514057746,3.036897545,2.954603231,2.514057746,3.036897545,0.4505897836,0.4505897836,0.1993943469,0.2507558233,0.1689286394,0.6923530624,0.4947162909,0.6928139778,0.5230282657,0.3262208835,0.535356803
0.12,2.952246621,2.517507899,3.034199053,2.952246621,2.517507899,3.034199053,0.4456793843,0.4456793843,0.1995828756,0.2504798111,0.1691445187,0.6915613058,0.496226215,0.6919219597,0.5220856218,0.3276009446,0.5342774063
0.14,2.949912775,2.520915779,3.031530785,2.949912775,2.520915779,3.031530785,0.4408253788,0.4408253788,0.1997695833,0.2502071807,0.1693579802,0.690776317,0.4977144284,0.6910388433,0.5211520835,0.3289640967,0.5332100992
0.16,2.947601467,2.524281887,3.028892387,2.947601467,2.524281887,3.028892387,0.4360271152,0.4360271152,0.1999544879,0.249937892,0.169569052,0.6899980433,0.4991812806,0.6901645447,0.5202275603,0.3303105398,0.53215474
0.18,2.945312473,2.527606716,3.026283508,2.945312473,2.527606716,3.026283508,0.4312839494,0.4312839494,0.2001376075,0.2496719057,0.1697777623,0.6892264322,0.5006271143,0.6892989806,0.5193119626,0.3316404715,0.5311111885
