t,n1,n2,n3,oracle_n1,oracle_n2,oracle_n3,error_norm,oracle_error_norm,r1,r2,r3,u1,u2,u3,z1,z2,z3
0,140.1490607,43.18143563,143.1814356,140.1490607,43.18143563,143.1814356,114.8912529,114.8912529,0,6.2,0,1,0.05181356779,1,15.96079446,0.6,15.84366492
0.05,139.5609189,43.82929078,142.5906874,138.5719538,44.39401038,141.5322291,113.9586679,112.4364903,0,6.148171588,0,1,0.07348742862,1,15.98251109,0.8591420599,15.86714856
0.1,138.9746795,44.46229998,142.0032024,137.0289346,45.56303159,139.9224529,113.0343096,110.0459309,0,6.097530851,0,1,0.09428275448,1,16.00382514,1.112345743,15.89018704
0.15,138.3902957,45.08080557,141.4189024,135.5192141,46.68986536,138.3510548,112.1179061,107.7177031,0,6.048050404,0,1,0.1142543657,1,16.02473786,1.359747978,15.91278505
0.2,137.8077219,45.68514179,140.8377111,134.0420222,47.77583714,136.8170124,111.2091951,105.44999,0,5.999703507,0,1,0.1334522145,1,16.04525039,1.601482466,15.93494712
0.25,137.2269138,46.27563503,140.2595543,132.5966077,48.82223298,135.3193322,110.3079231,103.2410281,0,5.952464047,0,1,0.1519219273,1,16.06536376,1.837679764,15.95667761
0.3,136.6478286,46.852604,139.6843596,131.1822372,49.83030064,133.8570493,109.4138456,101.0891059,0,5.90630653,0,1,0.1697052765,1,16.08507889,2.068467351,15.97798072
0.35,136.0704248,47.41635989,139.1120565,129.798195,50.80125069,132.4292259,108.5267263,98.99256203,0,5.861206059,0,1,0.1868405913,1,16.10439656,2.293969706,15.99886045
0.4,135.4946622,47.96720655,138.5425763,128.4437827,51.7362576,131.0349508,107.6463375,96.94978429,0,5.817138326,0,1,0.2033631177,1,16.1233175,2.514308371,16.01932067
0.45,134.9205019,48.50544069,137.9758522,127.1183188,52.6364608,129.6733387,106.772459,94.95920808,0,5.774079594,0,1,0.2193053328,1,16.14184227,2.729602028,16.03936508
0.5,134.3479062,49.03135201,137.4118187,125.821138,53.5029657,128.3435293,105.9048786,93.01931508,0,5.732006689,0,1,0.2346972229,1,16.15997138,2.939966556,16.05899723
0.55,133.7768386,49.54522339,136.8504126,124.5515912,54.33684464,127.0446867,105.0433916,91.12863193,0,5.690896979,0,1,0.2495665274,1,16.17770521,3.145515104,16.07822053
0.6,133.2072638,50.047331,136.2915719,123.3090446,55.13913789,125.7759984,104.1878005,89.28572905,0,5.65072837,0,1,0.2639389546,1,16.19504407,3.346358152,16.09703821
0.65,132.6391477,50.53794455,135.7352365,122.09288,55.91085459,124.536675,103.3379146,87.4892193,0,5.611479286,0,1,0.2778383737,1,16.21198816,3.542603572,16.1154534
0.7,132.0724575,51.01732735,135.1813476,120.9024936,56.65297362,123.3259493,102.4935503,85.73775688,0,5.573128662,0,1,0.2912869841,1,16.22853759,3.73435669,16.13346906
0.75,131.5071612,51.48573649,134.6298482,119.7372965,57.3664445,122.1430757,101.6545304,84.03003609,0,5.535655931,0,1,0.3043054672,1,16.2446924,3.921720347,16.15108804
0.8,130.9432281,51.94342301,134.0806828,118.5967137,58.05218824,120.9873294,100.820684,82.36479025,0,5.499041009,0,1,0.3169131215,1,16.26045252,4.104794955,16.16831303
0.85,130.3806285,52.390632,133.5337973,117.480184,58.71109819,119.8580061,99.99184642,80.74079056,0,5.46326429,0,1,0.3291279826,1,16.27581783,4.283678552,16.18514661
0.9,129.8193339,52.82760278,132.9891389,116.3871597,59.34404083,118.7544214,99.16785906,79.15684504,0,5.428306628,0,1,0.3409669318,1,16.29078811,4.458466861,16.20159123
0.95,129.2593168,53.25456898,132.4466566,115.317106,59.95185654,117.6759097,98.34856893,77.61179748,0,5.394149331,0,1,0.352445793,1,16.30536306,4.629253343,16.21764922
1,128.7005504,53.67175874,131.9063004,114.2695012,60.53536039,116.6218244,97.53382868,76.10452642,0,5.360774151,0,1,0.36357942,1,16.31954232,4.796129246,16.23332279
1.05,128.1430093,54.07939478,131.368022,113.2438358,61.09534286,115.5915367,96.72349637,74.63394416,0,5.328163268,0,1,0.3743817746,1,16.33332546,4.959183662,16.24861404
